Neighborhood,OverallQual,GarageType,LotArea,YearBuilt,HouseStyle,SalePrice
CollgCr,7,Attchd,8450,2003,2Story,208500
Veenker,6,Attchd,9600,1976,1Story,181500
CollgCr,7,Attchd,11250,2001,2Story,223500
Crawfor,7,Detchd,9550,1915,2Story,140000
NoRidge,8,Attchd,14260,2000,2Story,250000
Mitchel,5,Attchd,14115,1993,1.5Fin,143000
Somerst,8,Attchd,10084,2004,1Story,307000
NWAmes,7,Attchd,10382,1973,2Story,200000
OldTown,7,Detchd,6120,1931,1.5Fin,129900
BrkSide,5,Attchd,7420,1939,1.5Unf,118000
Sawyer,5,Detchd,11200,1965,1Story,129500
NridgHt,9,BuiltIn,11924,2005,2Story,345000
Sawyer,5,Detchd,12968,1962,1Story,144000
CollgCr,7,Attchd,10652,2006,1Story,279500
NAmes,6,Attchd,10920,1960,1Story,157000
BrkSide,7,Detchd,6120,1929,1.5Unf,132000
NAmes,6,Attchd,11241,1970,1Story,149000
Sawyer,4,CarPort,10791,1967,1Story,90000
SawyerW,5,Detchd,13695,2004,1Story,159000
NAmes,5,Attchd,7560,1958,1Story,139000
NridgHt,8,BuiltIn,14215,2005,2Story,325300
IDOTRR,7,Attchd,7449,1930,1.5Unf,139400
CollgCr,8,Attchd,9742,2002,1Story,230000
MeadowV,5,Attchd,4224,1976,1Story,129900
Sawyer,5,Attchd,8246,1968,1Story,154000
NridgHt,8,Attchd,14230,2007,1Story,256300
NAmes,5,Detchd,7200,1951,1Story,134800
NridgHt,8,Attchd,11478,2007,1Story,306000
NAmes,5,Attchd,16321,1957,1Story,207500
BrkSide,4,Detchd,6324,1927,1Story,68500
IDOTRR,4,Detchd,8500,1920,2Story,40000
Sawyer,5,Attchd,8544,1966,1Story,149350
CollgCr,8,Attchd,11049,2007,1Story,179900
NAmes,5,Attchd,10552,1959,1Story,165500
NridgHt,9,Attchd,7313,2005,1Story,277500
NridgHt,8,BuiltIn,13418,2004,2Story,309000
CollgCr,5,Attchd,10859,1994,1Story,145000
NAmes,5,Attchd,8532,1954,1Story,153000
NAmes,5,Detchd,7922,1953,1Story,109000
Edwards,4,NA,6040,1955,1Story,82000
NAmes,6,Attchd,8658,1965,1Story,160000
Timber,5,Attchd,16905,1959,1Story,170000
SawyerW,5,Attchd,9180,1983,SFoyer,144000
CollgCr,5,Detchd,9200,1975,1Story,130250
NAmes,5,Attchd,7945,1959,1Story,141000
NridgHt,9,Attchd,7658,2005,1Story,319900
Mitchel,7,Attchd,12822,2003,1.5Fin,239686
Somerst,8,Attchd,11096,2006,1Story,249700
OldTown,4,NA,4456,1920,2Story,113000
Sawyer,5,Attchd,7742,1966,1Story,127000
Gilbert,6,Attchd,13869,1997,2Story,177000
BrkSide,6,Detchd,6240,1934,1.5Fin,114500
IDOTRR,5,CarPort,8472,1963,1Story,110000
Veenker,9,Attchd,50271,1981,1Story,385000
NAmes,5,Detchd,7134,1955,SLvl,130000
NAmes,6,Attchd,10175,1964,1Story,180500
Somerst,8,Attchd,2645,1999,2Story,172500
CollgCr,7,Attchd,11645,2004,2Story,196500
StoneBr,10,BuiltIn,13682,2006,2Story,438780
CollgCr,5,Detchd,7200,1972,1Story,124900
SawyerW,6,Detchd,13072,2004,1Story,158000
IDOTRR,5,Detchd,7200,1920,2.5Unf,101000
NridgHt,8,Attchd,6442,2006,1Story,202500
OldTown,7,Detchd,10300,1921,2Story,140000
CollgCr,7,Attchd,9375,1997,2Story,219500
NridgHt,8,BuiltIn,9591,2004,2Story,317000
NAmes,7,Attchd,19900,1970,1Story,180000
CollgCr,7,Attchd,10665,2003,1Story,226000
OldTown,4,Attchd,4608,1945,1Story,80000
ClearCr,7,Attchd,15593,1953,1.5Fin,225000
NAmes,7,Attchd,13651,1973,1Story,244000
Mitchel,4,Detchd,7599,1982,1Story,129500
Gilbert,7,Attchd,10141,1998,2Story,185000
NAmes,5,Attchd,10200,1954,1Story,144900
OldTown,3,Detchd,5790,1915,2Story,107400
MeadowV,4,BuiltIn,1596,1973,SLvl,91000
NAmes,4,Detchd,8475,1956,1Story,135750
BrkSide,5,Detchd,8635,1948,1.5Fin,127000
Sawyer,4,NA,10778,1968,1Story,136500
OldTown,5,Detchd,10440,1910,2Story,110000
NAmes,6,Attchd,13000,1968,2Story,193500
Mitchel,6,Attchd,4500,1998,1Story,153500
Somerst,8,Attchd,10206,2007,1Story,245000
NAmes,5,Detchd,8892,1960,1Story,126500
Gilbert,7,BuiltIn,8530,1995,SLvl,168500
NoRidge,8,Attchd,16059,1991,2Story,260000
Gilbert,6,BuiltIn,11911,2005,2Story,174000
Somerst,6,Detchd,3951,2009,2Story,164500
IDOTRR,3,NA,8470,1915,1.5Fin,85000
CollgCr,4,NA,8070,1994,1Story,123600
NAmes,4,Detchd,7200,1950,1Story,109900
NAmes,5,Attchd,8500,1961,1Story,98600
Crawfor,5,Detchd,13360,1921,1Story,163500
OldTown,6,Detchd,7200,1910,2.5Unf,133900
CollgCr,6,Attchd,9337,1997,2Story,204750
Gilbert,6,BuiltIn,9765,1993,2Story,185000
CollgCr,7,Attchd,10264,1999,1Story,214000
Edwards,4,Attchd,10921,1965,1Story,94750
Edwards,5,Basment,10625,1920,1Story,83000
NAmes,4,NA,9320,1959,1Story,128950
NWAmes,6,Attchd,10603,1977,1Story,205000
SawyerW,6,Attchd,9206,1985,2Story,178000
SawyerW,5,Attchd,7018,1979,1Story,118964
CollgCr,7,Attchd,10402,2009,1Story,198900
IDOTRR,7,Detchd,7758,1931,1.5Fin,169500
Somerst,8,Attchd,9375,2003,2Story,250000
OldTown,4,Detchd,10800,1885,1Story,100000
OldTown,5,Detchd,6000,1948,1Story,115000
IDOTRR,5,NA,8500,1919,1.5Fin,115000
NWAmes,6,Attchd,11751,1977,1Story,190000
Edwards,6,Attchd,9525,1954,1.5Fin,136900
